id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules
80,Douala,Akwa Palace,Centrale à gaz Ndogpassi 2,30.0,9.636,2550.0,3550.0,4300.0,13h–14h,vert
81,Douala,Santa lucia bonaberie,Kotto immeuble Tampico,41.0,13.0,2450.0,3300.0,4000.0,14h–15h,vert
82,Douala,Marché de Bonamoussadi,Lendi derrière école felima,24.0,7.702,2850.0,3000.0,3100.0,13h–14h,jaune
83,Douala,Marché de Bonamoussadi,Makepe Bloc L,11.0,7.938,900.0,1100.0,1350.0,13h–14h,jaune
84,Douala,Akwa Nord,Derrière Total Bonatéki Deido,6.0,2.077,500.0,650.0,850.0,13h–14h,vert
85,Douala,Marché de Bonamoussadi,Makepe Entrée École Sira Bloc L,10.0,7.944,800.0,950.0,1200.0,13h–14h,jaune
86,Douala,Santa lucia bonaberie,Kotto-Bloc,37.0,12.908,2250.0,3050.0,3750.0,14h–15h,vert
87,Douala,Akwa Nord,Hôtel Deido Plage,10.0,2.748,650.0,900.0,1100.0,13h–14h,vert
88,Douala,Akwa Nord,Bonapriso,25.0,8.175,1450.0,2000.0,2450.0,13h–14h,vert
89,Douala,Marché de Bonamoussadi,Collège Ippb Bonamoussadi,6.0,1.271,1050.0,1150.0,1200.0,13h–14h,vert
90,Douala,Akwa Nord,Souza Gare,167.0,6.832,21500.0,28550.0,34350.0,13h–14h,jaune
91,Douala,Akwa Palace,Chapelle Canaan Logbaba,39.0,9.347,2300.0,2850.0,3500.0,13h–14h,vert
92,Douala,Santa lucia bonaberie,Lycée de Japoma,7.0,20.018,3950.0,4900.0,6000.0,14h–15h,vert
93,Douala,Marché de Bonamoussadi,"Lendi, station service Bocom",40.0,7.702,4250.0,4550.0,4650.0,13h–14h,jaune
94,Douala,Akwa Palace,Mairie Logbaba,31.0,9.347,1750.0,2250.0,2750.0,13h–14h,jaune
95,Douala,Santa lucia bonaberie,Derrière Total Bonatéki Deido,21.0,7.175,1450.0,1800.0,2200.0,14h–15h,jaune
96,Douala,Santa lucia bonaberie,Ndokoti Gare,46.0,10.96,2500.0,3350.0,4100.0,14h–15h,jaune
97,Douala,Santa lucia bonaberie,UIC,43.0,15.151,2950.0,3700.0,4550.0,14h–15h,jaune
98,Douala,Santa lucia bonaberie,Kotto Antenne,37.0,12.521,2250.0,3050.0,3750.0,14h–15h,vert
99,Douala,Marché de Bonamoussadi,Santa lucia bonaberie,31.0,11.621,2500.0,3450.0,4200.0,13h–14h,vert
100,Douala,Akwa Nord,Bonassama,17.0,6.427,1450.0,1900.0,2300.0,13h–14h,jaune
101,Douala,Marché de Bonamoussadi,Bonaberi Rail Daas,33.0,12.118,2900.0,4050.0,4900.0,13h–14h,vert
102,Douala,Santa lucia bonaberie,Pharmacie Cité des Palmiers,47.0,13.696,2600.0,3450.0,4250.0,14h–15h,vert
103,Douala,Akwa Nord,La Falaise Bonapriso,25.0,7.838,1450.0,1950.0,2400.0,13h–14h,vert
104,Douala,Akwa Palace,Marché Pk12,38.0,11.817,2350.0,3200.0,3950.0,13h–14h,vert
105,Douala,Akwa Nord,Maison H,24.0,7.826,1450.0,1950.0,2350.0,13h–14h,vert
106,Douala,Akwa Palace,Jardin Logbaba,35.0,9.269,2000.0,2700.0,3350.0,13h–14h,vert
107,Douala,Santa lucia bonaberie,Pharmacie kotto,36.0,12.546,2200.0,2950.0,3600.0,14h–15h,vert
108,Douala,Marché de Bonamoussadi,Entrée chefferie missoke,40.0,9.18,4250.0,4550.0,4650.0,13h–14h,jaune
109,Douala,Akwa Nord,Lycée de Japoma,50.0,15.147,3300.0,4500.0,5450.0,14h–15h,jaune
110,Douala,Santa lucia bonaberie,Palais de Justice Ndokoti,34.0,10.96,2050.0,2750.0,3350.0,14h–15h,vert
111,Douala,Akwa Palace,La Falaise Bonapriso,13.0,3.661,800.0,1100.0,1350.0,13h–14h,vert
112,Douala,Marché de Bonamoussadi,Lycée Bilingue de Bonabéri,28.0,10.878,2300.0,3200.0,3900.0,13h–14h,vert
113,Douala,Akwa Palace,Deido,13.0,2.702,750.0,1050.0,1300.0,13h–14h,vert
114,Douala,Santa lucia bonaberie,Makepe Missoke,34.0,11.018,2000.0,2700.0,3300.0,14h–15h,vert
115,Douala,Marché de Bonamoussadi,Bonanjo Immeuble Allianz,30.0,9.375,1850.0,2450.0,3000.0,13h–14h,vert
116,Douala,Akwa Palace,Bonapriso,13.0,3.997,850.0,1100.0,1400.0,13h–14h,vert
117,Douala,Santa lucia bonaberie,"Carrefour du centre équestre, Bonaberi",2.0,2.039,500.0,700.0,900.0,14h–15h,vert
118,Douala,Akwa Nord,Marché Mboppi,15.0,5.203,1000.0,1350.0,1650.0,14h–15h,vert
119,Douala,Marché de Bonamoussadi,Spar Bonaberi,28.0,10.975,2400.0,3300.0,4000.0,13h–14h,vert
120,Douala,Santa lucia bonaberie,Total Bonateki,19.0,7.175,1250.0,1750.0,2100.0,14h–15h,vert
121,Douala,Marché de Bonamoussadi,Makepe Bm au niveau du carrefour Orly,15.0,7.614,900.0,1250.0,1550.0,13h–14h,vert
122,Douala,Akwa Palace,Avenue Japoma,29.0,4.954,1550.0,2100.0,2550.0,13h–14h,vert
123,Yaounde,Petit Genie D'Ebom,Frazati,6.0,1.568,750.0,,,21h–22h,jaune
124,Yaounde,Fustel de Coulanges,"Hôtel Hilton, Yaoundé Cameroun",6.0,1.769,450.0,550.0,750.0,05h–06h,vert
125,Yaounde,Kazoo Dragage,Touristique,16.0,4.635,1400.0,,2150.0,12h–13h,vert
126,Yaounde,Odza Petit Marché,Lycée Bilingue d'Essos,35.0,10.603,2750.0,3000.0,4000.0,13h–14h,vert
127,Yaounde,Bastos II Yaoundé,Ngoa Ekele,18.0,5.308,1300.0,1400.0,2000.0,17h–18h,vert
128,Yaounde,Fecafoot,Mvolyé,18.0,12.438,1200.0,1500.0,2400.0,17h–18h,vert
129,Yaounde,Mosquée d'Etoudi Descente Cimetière,Chefferie Elende,65.0,14.668,4100.0,4700.0,6000.0,07h–08h,orange
130,Yaounde,Bastos,Camp SIC Olembé,37.0,12.845,2200.0,2750.0,4750.0,18h–19h,vert
131,Yaounde,Musée National,Mairie Tsinga,13.0,3.447,700.0,950.0,,08h–09h,vert
132,Yaounde,Lycee de Biyemassi,Nkomo Résidence Des Palmiers,25.0,8.393,2600.0,2800.0,3250.0,15h–16h,jaune
133,Yaounde,Rue 5.549,Fond National de l'Emploi,21.0,1.759,1800.0,,,13h–14h,vert
134,Yaounde,Garranty Express Biyemassi,Amour Shopping,3.0,5.746,550.0,,800.0,23h–24h,vert
135,Yaounde,Lycée de Nkoleton,Nkol Eton,5.0,1.101,550.0,600.0,700.0,02h–03h,vert
136,Yaounde,Chapelle Elig Effa,Okui Nkomo,17.0,8.798,2050.0,2200.0,2750.0,01h–02h,jaune
137,Yaounde,Rue 4.523,US Embassy,25.0,0.0,1800.0,2450.0,,10h–11h,jaune
138,Yaounde,Fecafoot,Djeuga Palace,9.0,13.32,850.0,950.0,1100.0,17h–18h,vert
139,Yaounde,Rue 5.549,Lycee D'emana,20.0,11.278,1650.0,1700.0,2250.0,13h–14h,jaune
140,Yaounde,Odza Petit Marché,Auberge Bleu Odza,5.0,4.249,400.0,500.0,,15h–16h,vert
141,Yaounde,Yaounde Omnisports,Sunrise Beauty Academy,10.0,8.238,500.0,750.0,900.0,16h–17h,vert
142,Yaounde,Fecafoot,BEAC,13.0,12.536,800.0,1150.0,1300.0,22h–23h,vert
143,Yaounde,Odza Petit Marché,Pharmacie du Stade,31.0,12.417,1950.0,2750.0,4000.0,13h–14h,vert
144,Yaounde,Odza Petit Marché,Sous Préfecture de Nkondengui,21.0,8.081,1500.0,1850.0,,13h–14h,jaune
145,Yaounde,Evasion Bar,Ekié Carrefour Six Morts,18.0,3.92,950.0,1200.0,1750.0,16h–17h,vert
146,Yaounde,L'Hybride,Hôpital Général De Yaoundé,29.0,6.575,1800.0,3150.0,3300.0,18h–19h,vert
147,Yaounde,Palais de Sports,Ministère du Domaine du Cadastre et Des Affaires Frontières,5.0,2.074,400.0,500.0,700.0,11h–12h,vert
148,Yaounde,Titi Garage,Mahima Essos,8.0,1.924,600.0,800.0,,08h–09h,vert
149,Yaounde,Chapelle Nsimeyong,Santa Lucia,15.0,5.353,1800.0,1950.0,2600.0,22h–23h,vert
150,Yaounde,Carrefour Bastos,Nlongkak,8.0,2.718,650.0,850.0,1100.0,14h–15h,vert
374,Yaounde,Ngoa Ekele,Dispensaire Messassi,32.0,15.928,1600.0,2450.0,4400.0,14h–15h,vert
151,Yaounde,Rue 5.549,Men travelL agence,18.0,3.352,,1750.0,2300.0,13h–14h,vert
152,Yaounde,Lycee de Biyemassi,Cerimed,14.0,3.687,1150.0,1300.0,,14h–15h,vert
153,Yaounde,Nkom-Kana,Carrossel Temple de la Culture,26.0,5.158,1850.0,,,08h–09h,gris
154,Yaounde,Rue 4.761,Florencia Palace,5.0,7.142,800.0,950.0,1050.0,00h–01h,jaune
155,Yaounde,Carrefour Bastos,Medical Center de L'hippodrome - La Cardiologie Par Excellence,13.0,3.139,850.0,1150.0,1450.0,13h–14h,vert
156,Yaounde,Odza Petit Marché,Ngousso Santa Lucia,32.0,12.952,2250.0,2600.0,4250.0,13h–14h,vert
157,Yaounde,Efoulan,Archidiocèse de Yaoundé,6.0,3.973,800.0,850.0,,08h–09h,jaune
158,Yaounde,Santa Lucia Mvan,YooMee de l'argence Général Express,8.0,0.844,550.0,600.0,750.0,21h–22h,vert
159,Yaounde,Complexe Santa Lucia,Fondation Medicale Frantz Fanon Bastos,28.0,7.949,1550.0,2050.0,,03h–04h,jaune
160,Yaounde,Playce carrefour,Vanking's Beauty-mendong,41.0,2.794,1950.0,3500.0,4550.0,14h–15h,vert
161,Yaounde,Montee Jouvence,Mimboman Chapelle,45.0,13.511,3700.0,,,08h–09h,vert
162,Yaounde,Lycee de Biyemassi,Playce carrefour,15.0,7.116,2100.0,2250.0,2400.0,15h–16h,jaune
163,Yaounde,Djeuga Palace,Immeuble Happi,21.0,9.642,1450.0,1850.0,3000.0,17h–18h,vert
164,Yaounde,Rue 4.761,Rue 4.804,4.0,0.0,500.0,650.0,850.0,00h–01h,vert
165,Yaounde,Assemblée Nationale,Hôpital Général De Yaoundé,18.0,9.379,1450.0,2250.0,2700.0,05h–06h,vert
166,Yaounde,Petit Genie D'Ebom,Gulfin,10.0,10.079,850.0,1150.0,,22h–23h,vert
167,Yaounde,Avenue Germaine Ahidjo,Mvog Ada,6.0,1.45,500.0,500.0,700.0,13h–14h,vert
168,Yaounde,Cite Verte,Dôvv distribution direction générale,17.0,4.979,1050.0,1250.0,1700.0,20h–21h,vert
169,Yaounde,Awae Escalier,Institut Petou,3.0,1.38,500.0,650.0,,19h–20h,vert
170,Yaounde,Carrefour Bastos,Église EPC Paroisse Adna,9.0,2.88,950.0,1000.0,1050.0,02h–03h,gris
171,Yaounde,Mvog Mbi,Yaoundé,14.0,1.346,700.0,950.0,1250.0,14h–15h,orange
172,Yaounde,Rue de Kondengui,Quartier Général,23.0,5.153,1150.0,1650.0,,10h–11h,gris
173,Yaounde,Carrefour Bastos,Yaounde Omnisports,12.0,7.084,1350.0,1500.0,2050.0,22h–23h,rouge
174,Yaounde,Nlongkak,Ambassade d'Allemagne,16.0,2.121,700.0,1200.0,1300.0,15h–16h,jaune
175,Yaounde,Avenue Monseigneur François Xavier Vogt,Mosquée de Ngousso,20.0,7.844,1150.0,1700.0,2300.0,12h–13h,vert
176,Yaounde,Petit Marché Mimboman,Raphaëlo Pizza,9.0,4.68,450.0,550.0,750.0,19h–20h,vert
177,Yaounde,Monument de la réunification,Polyclinique Tsinga,19.0,4.18,1400.0,,2300.0,02h–03h,jaune
178,Yaounde,Santa Lucia Mvan,El Dorado de Nkomo,20.0,5.115,1650.0,2050.0,2900.0,20h–21h,vert
179,Yaounde,Rue 4.761,Cosmos Bar Emombo 2eme,4.0,3.458,550.0,700.0,,00h–01h,gris
180,Yaounde,Polyclinique André Fouda,Karoka BBQ Service,5.0,0.685,500.0,650.0,850.0,07h–08h,vert
181,Yaounde,Playce carrefour,Obili Pressing,16.0,4.685,1250.0,1950.0,2100.0,13h–14h,vert
182,Yaounde,Lycee de la Cita Verte,École Publique Mfandena,22.0,8.083,2650.0,2850.0,,07h–08h,vert
183,Yaounde,Carrossel Temple de la Culture,Okui,17.0,7.343,850.0,,,10h–11h,orange
184,Yaounde,Playce carrefour,Biyem-Assi,21.0,7.831,1150.0,1600.0,2600.0,14h–15h,vert
185,Yaounde,"Hôtel Tango, Elig Essono",Oilybia,5.0,8.983,500.0,600.0,850.0,13h–14h,vert
186,Yaounde,Rue 4.761,Mahima Essos,6.0,2.873,800.0,,,01h–02h,gris
187,Yaounde,Rue de Kondengui,Supermache Dôvv,10.0,6.086,750.0,1000.0,1300.0,14h–15h,vert
188,Yaounde,Ministere des Finances,Lac Municipal,4.0,3.377,300.0,400.0,650.0,10h–11h,vert
189,Yaounde,Rue Manfred Otto Fouda,Jouvence International,4.0,0.569,800.0,900.0,1000.0,13h–14h,vert
190,Yaounde,Fecafoot,Lycée de Nkoleton,11.0,15.568,800.0,1050.0,1400.0,18h–19h,vert
191,Yaounde,Odza Petit Marché,Terminus Odza,15.0,3.679,900.0,,,12h–13h,jaune
192,Yaounde,Carrefour Bastos,Commissariat de Police du 9e Arrondissement Mendong,24.0,3.968,1250.0,2000.0,3500.0,02h–03h,vert
193,Yaounde,Chefferie Traditionnelle Messa,Saint Augustin,19.0,5.495,1200.0,1800.0,,07h–08h,vert
194,Yaounde,Tradex,"Quifeurou, Emana",4.0,13.372,850.0,950.0,1300.0,13h–14h,jaune
195,Yaounde,Rue 5.500,Eneo Cameroon Ngousso,5.0,3.028,500.0,600.0,850.0,18h–19h,vert
196,Yaounde,Ministere des Finances,Monument de la Réunification,7.0,1.822,500.0,900.0,950.0,11h–12h,vert
197,Yaounde,Lycee de Biyemassi,Odza petit marché,29.0,9.335,1800.0,2250.0,,14h–15h,jaune
198,Yaounde,Sous-Préfecture Nlongkak,Awae Escalier,34.0,9.458,1700.0,2250.0,3550.0,13h–14h,jaune
199,Yaounde,Carrefour Bastos,Obili Institut Des Relations Internationales Du Cameroun,26.0,7.097,1550.0,2200.0,2750.0,13h–14h,vert
200,Yaounde,Hôpital de la Casse,Yoyo Bar,22.0,5.458,2300.0,2450.0,2750.0,20h–21h,vert
201,Yaounde,Santa Lucia Mvan,Sélect,18.0,5.76,1650.0,,2450.0,20h–21h,jaune
202,Yaounde,L'institut Petou,Awae Escalier,8.0,3.308,600.0,650.0,1050.0,17h–18h,vert
203,Yaounde,Gendarmerie Nationale-Légion du Centre,Hôpital Général De Yaoundé,28.0,7.899,2650.0,2850.0,,15h–16h,orange
204,Yaounde,Rue de Kondengui,Lycee d'Anguissa,6.0,2.022,550.0,700.0,900.0,16h–17h,vert
205,Yaounde,College la Retraite,Moabi Voyages,9.0,1.187,1250.0,1600.0,1750.0,13h–14h,vert
206,Yaounde,Carrefour Bastos,Omnisport Stadium annex1,15.0,3.968,800.0,1100.0,1750.0,12h–13h,vert
207,Yaounde,Niki Mokolo,Mairie De Yaoundé IV,14.0,7.476,1400.0,1750.0,2200.0,05h–06h,vert
208,Yaounde,Lycee de la Cita Verte,Mvog Mbi,18.0,5.962,1950.0,2100.0,,07h–08h,jaune
209,Yaounde,Awae Escalier,Elig Essono,34.0,7.867,1500.0,2100.0,3350.0,16h–17h,vert
210,Yaounde,Auberge Bleu Odza,Express Union Agence de Eleveur,48.0,9.038,3350.0,3550.0,,19h–20h,jaune
211,Yaounde,Kazoo Dragage,Marché d'Etoudi,13.0,5.033,1450.0,,,12h–13h,jaune
212,Yaounde,Nkolmesseng Petit Paris,Nkozoa,26.0,7.072,3550.0,,,02h–03h,jaune
213,Yaounde,Marché d'Etoudi,Avenue Germaine Ahidjo,21.0,7.315,900.0,1300.0,2250.0,14h–15h,orange
214,Yaounde,Carrossel Temple de la Culture,Mahima,18.0,2.136,900.0,1250.0,1950.0,19h–20h,vert
215,Yaounde,K-Dreams,Biteng,13.0,4.507,750.0,1050.0,1750.0,11h–12h,vert
216,Yaounde,Fecafoot,Emana,16.0,11.86,1150.0,1400.0,2500.0,17h–18h,vert
217,Yaounde,Hôpital Jamot Urgences,"Quifeurou, Emana",12.0,6.278,750.0,1050.0,1950.0,08h–09h,vert
218,Yaounde,Santa Lucia Mvan,Polyclinique Innov'a,6.0,3.649,500.0,600.0,950.0,21h–22h,vert
219,Yaounde,Marché d'Ekounou,Carrefour Ekounou,7.0,1.058,600.0,,,13h–14h,vert
220,Yaounde,Lycee de Biyemassi,Tradex Ahala,22.0,9.152,2100.0,2200.0,2900.0,14h–15h,jaune
221,Yaounde,Maison DAMAS,Maison Rose Damase,4.0,0.292,450.0,600.0,800.0,14h–15h,vert
222,Yaounde,Dja'ankeu,Carrefour Bastos,17.0,3.919,1000.0,1450.0,2350.0,21h–22h,vert
223,Yaounde,Santa Lucia Mvan,Oumarou,6.0,9.167,650.0,700.0,950.0,21h–22h,vert
224,Yaounde,Fecafoot,College la Retraite,7.0,13.468,800.0,900.0,1050.0,17h–18h,vert
671,Yaounde,Rue 4.523,Ceper,21.0,1.763,1000.0,1450.0,,15h–16h,vert
225,Yaounde,Elig Essono,Gare Voyageur Camrail,6.0,0.485,400.0,550.0,900.0,08h–09h,vert
226,Yaounde,Odza Petit Marché,Tradex,28.0,13.283,1850.0,,3800.0,13h–14h,vert
227,Yaounde,Rue 5.549,Chapelle Essos,34.0,2.453,2100.0,,,13h–14h,vert
228,Yaounde,Marché de Nsam,Paroisse Saint Esprit de Mvolye,4.0,1.48,600.0,800.0,,15h–16h,vert
229,Yaounde,Odza Petit Marché,Rue 8.253,6.0,8.081,400.0,450.0,700.0,20h–21h,vert
230,Yaounde,Playce carrefour,Touristique,12.0,2.421,800.0,1100.0,1400.0,14h–15h,vert
231,Yaounde,Marché d'Etoudi,Meupeh & Cie,7.0,1.422,1250.0,1400.0,,13h–14h,vert
